ID_participant,cog_load,animal,tail,covered,resolution,att_resp.corr,att_resp.rt,first_procedure,gender,age,vosi_object,vosi_spatial,exp_model,exp_photo,exp_math,exp_experiment
004,0,Mole,Short,Right,high,1,2.0481198,ATT,f,20,45,28,1,3,5,0
004,0,Monkey,Long,Left,low,1,1.264156,ATT,f,20,45,28,1,3,5,0
004,0,Wolf,Long,Right,low,1,1.129582,ATT,f,20,45,28,1,3,5,0
004,0,Horse,Long,Right,low,1,1.281922,ATT,f,20,45,28,1,3,5,0
004,0,Deer,Short,Left,medium,1,0.8964146,ATT,f,20,45,28,1,3,5,0
004,0,Goat,Short,Left,medium,1,1.2352848,ATT,f,20,45,28,1,3,5,0
004,0,Crow,Long,Left,medium,0,1.3396474,ATT,f,20,45,28,1,3,5,0
004,0,Elephant,Short,Right,high,1,0.9114678,ATT,f,20,45,28,1,3,5,0
004,0,Chameleon,Long,Right,low,1,0.6868757,ATT,f,20,45,28,1,3,5,0
004,0,Jaguar,Long,Left,high,1,0.5422669,ATT,f,20,45,28,1,3,5,0
004,0,Crow,Long,Left,high,0,0.905376,ATT,f,20,45,28,1,3,5,0
004,0,Bear,Short,Left,low,1,0.7910085,ATT,f,20,45,28,1,3,5,0
004,0,Wolf,Long,Right,high,1,0.7512183,ATT,f,20,45,28,1,3,5,0
004,0,Gazelle,Short,Right,high,1,0.9107301,ATT,f,20,45,28,1,3,5,0
004,0,Wolf,Long,Right,medium,0,0.5785762,ATT,f,20,45,28,1,3,5,0
004,0,Bear,Short,Left,high,1,1.5284112,ATT,f,20,45,28,1,3,5,0
004,0,Mole,Short,Right,low,0,2.0113539,ATT,f,20,45,28,1,3,5,0
004,0,Bull,Long,Left,high,0,1.4450161,ATT,f,20,45,28,1,3,5,0
004,0,Horse,Long,Right,medium,1,1.3814073,ATT,f,20,45,28,1,3,5,0
004,0,Elephant,Short,Right,low,0,1.2985623,ATT,f,20,45,28,1,3,5,0
004,0,Zebra,Long,Left,low,1,0.6186896,ATT,f,20,45,28,1,3,5,0
